time_interval,rate_in,limit,truck,t_react,automax
287.2500,1.2225,1.0000,0.0000,0.2000,0.4585
276.6000,1.2225,1.0000,0.0000,0.2000,0.2361
275.6500,1.2225,1.0000,0.0000,0.2000,2.1213
277.8000,1.2225,1.0000,0.0000,0.2500,0.2297
286.2500,1.2225,1.0000,0.0000,0.2000,1.1578
274.5000,1.2225,1.0000,0.0000,0.2000,-0.0251
273.0500,1.2225,1.0000,0.0000,0.2000,0.4312
308.9500,1.2225,1.0000,0.0000,0.2000,0.8056
274.1500,1.2225,1.0000,0.0000,0.2000,0.4512
273.2500,1.2225,1.0000,0.0000,0.2000,1.9369
311.2500,1.2225,1.0000,0.0000,0.2000,0.6591
310.8000,1.2225,1.0000,0.0000,0.2000,1.2435
273.9000,1.2225,1.0000,0.0000,0.1500,0.5841
306.4500,1.2225,1.0000,0.0000,0.2500,0.9802
299.8000,1.2225,1.0000,0.0000,0.2000,0.0226
268.4500,1.2225,1.0000,0.0000,0.2500,1.3056
288.7500,1.2225,1.0000,0.0000,0.2000,0.6734
271.4000,1.2225,1.0000,0.0000,0.2000,0.2326
283.9500,1.2225,1.0000,0.0000,0.2000,0.8907
300.7000,1.2225,1.0000,0.0000,0.3000,0.7165
271.3000,1.2225,1.0000,0.0000,0.2000,1.5624
270.8500,1.2225,1.0000,0.0000,0.2000,0.1238
276.6500,1.2225,1.0000,0.0000,0.2500,1.0270
272.9500,1.2225,1.0000,0.0000,0.2000,0.8675
270.8000,1.2225,1.0000,0.0000,0.2000,0.8058
275.9000,1.2225,1.0000,0.0000,0.2000,0.7528
301.0500,1.2225,1.0000,0.0000,0.1500,0.2520
270.8000,1.2225,1.0000,0.0000,0.2000,0.3848
280.8000,1.2225,1.0000,0.0000,0.2000,0.2985
269.3000,1.2225,1.0000,0.0000,0.2000,1.1012
331.1500,1.2225,1.0000,1.0000,0.2000,3.3386
278.9000,1.2225,1.0000,0.0000,0.2000,1.8291
266.7500,1.2225,1.0000,0.0000,0.2000,1.7263
292.9000,1.2225,1.0000,0.0000,0.1500,1.2102
267.1000,1.2225,1.0000,0.0000,0.2000,1.0704
295.9000,1.2225,1.0000,0.0000,0.2000,2.2995
295.7000,1.2225,1.0000,0.0000,0.2500,-0.0860
286.0500,1.2225,1.0000,0.0000,0.2000,1.0649
273.7000,1.2225,1.0000,0.0000,0.2000,1.2293
