time_interval,rate_in,limit,truck,t_react,automax
269.5500,1.5323,0.0000,0.0000,0.2000,1.3733
323.4000,1.5323,0.0000,0.0000,0.2000,-0.0871
309.4500,1.5323,0.0000,0.0000,0.2000,1.3427
269.2500,1.5323,0.0000,0.0000,0.2500,4.3471
322.2500,1.5323,0.0000,0.0000,0.1500,2.1379
289.4500,1.5323,0.0000,0.0000,0.2000,-0.1959
288.0500,1.5323,0.0000,1.0000,0.3000,0.1138
269.0500,1.5323,0.0000,0.0000,0.2000,0.3285
321.3000,1.5323,0.0000,0.0000,0.2000,0.4341
296.8000,1.5323,0.0000,0.0000,0.1500,1.4440
268.7500,1.5323,0.0000,0.0000,0.2000,2.2022
299.6000,1.5323,0.0000,0.0000,0.2000,1.4131
268.5000,1.5323,0.0000,0.0000,0.2000,1.7986
284.8500,1.5323,0.0000,0.0000,0.2500,1.5729
318.7000,1.5323,0.0000,0.0000,0.1500,0.4653
268.2000,1.5323,0.0000,0.0000,0.2000,0.7265
267.8000,1.5323,0.0000,0.0000,0.2000,1.0569
317.1500,1.5323,0.0000,0.0000,0.1500,1.0637
264.8000,1.5323,0.0000,0.0000,0.2000,2.3337
316.1000,1.5323,0.0000,0.0000,0.2000,0.4261
311.5000,1.5323,0.0000,0.0000,0.2500,-0.3672
256.7500,1.5323,0.0000,0.0000,0.2000,1.3296
314.8500,1.5323,0.0000,0.0000,0.2000,0.3572
313.8500,1.5323,0.0000,0.0000,0.2000,0.2903
290.4000,1.5323,0.0000,0.0000,0.2000,1.4236
313.7000,1.5323,0.0000,0.0000,0.2000,5.4641
310.9000,1.5323,0.0000,0.0000,0.2000,1.9051
262.5000,1.5323,0.0000,0.0000,0.2000,0.5720
262.3500,1.5323,0.0000,0.0000,0.2000,1.5786
262.2000,1.5323,0.0000,0.0000,0.2000,0.7530
311.9000,1.5323,0.0000,0.0000,0.2000,0.0084
261.9000,1.5323,0.0000,0.0000,0.2000,1.2866
278.1000,1.5323,0.0000,0.0000,0.2000,1.8699
309.9500,1.5323,0.0000,0.0000,0.2000,0.3468
278.5000,1.5323,0.0000,0.0000,0.2000,0.7159
261.7000,1.5323,0.0000,0.0000,0.2000,0.2633
261.4000,1.5323,0.0000,0.0000,0.1500,0.4153
286.8000,1.5323,0.0000,0.0000,0.2000,0.1190
272.4500,1.5323,0.0000,0.0000,0.2500,0.8608
261.1500,1.5323,0.0000,0.0000,0.1500,5.0941
304.9500,1.5323,0.0000,0.0000,0.2000,1.3005
285.0500,1.5323,0.0000,0.0000,0.2000,1.2048
260.8000,1.5323,0.0000,0.0000,0.2000,1.7490
253.2000,1.5323,0.0000,0.0000,0.2000,0.1879
305.0500,1.5323,0.0000,0.0000,0.2000,0.4399
273.3000,1.5323,0.0000,0.0000,0.2000,1.3039
273.5000,1.5323,0.0000,0.0000,0.2000,0.5174
302.9000,1.5323,0.0000,0.0000,0.2500,0.6487
258.7000,1.5323,0.0000,0.0000,0.2000,0.5800
258.3500,1.5323,0.0000,0.0000,0.2000,1.0729
303.3500,1.5323,0.0000,0.0000,0.2000,0.2167
300.8000,1.5323,0.0000,0.0000,0.2000,0.4816
273.4500,1.5323,0.0000,0.0000,0.2000,0.4032
257.9500,1.5323,0.0000,0.0000,0.2000,0.7531
299.0500,1.5323,0.0000,0.0000,0.2000,2.3038
274.3000,1.5323,0.0000,1.0000,0.2000,1.0416
298.7000,1.5323,0.0000,0.0000,0.2000,1.5941
257.5500,1.5323,0.0000,0.0000,0.2000,0.3611
313.9000,1.5323,0.0000,0.0000,0.2000,1.4212
257.2500,1.5323,0.0000,0.0000,0.2000,1.3164
310.0000,1.5323,0.0000,0.0000,0.2000,2.0396
308.3500,1.5323,0.0000,0.0000,0.2000,3.1505
256.9000,1.5323,0.0000,0.0000,0.2000,1.5704
296.6500,1.5323,0.0000,0.0000,0.2000,0.7601
292.9000,1.5323,0.0000,0.0000,0.2000,1.9592
296.4000,1.5323,0.0000,0.0000,0.2000,0.4620
256.5000,1.5323,0.0000,0.0000,0.1500,1.6925
311.2000,1.5323,0.0000,0.0000,0.1500,2.4842
256.1500,1.5323,0.0000,0.0000,0.2000,1.0595
255.8000,1.5323,0.0000,0.0000,0.2000,1.9016
291.8500,1.5323,0.0000,1.0000,0.2500,1.7246
270.5500,1.5323,0.0000,0.0000,0.2500,-0.0049
245.2500,1.5323,0.0000,0.0000,0.2000,0.9147
286.3000,1.5323,0.0000,0.0000,0.2000,1.0637
302.5000,1.5323,0.0000,0.0000,0.2000,0.3930
301.0500,1.5323,0.0000,0.0000,0.2000,0.6147
307.7500,1.5323,0.0000,0.0000,0.2000,0.4909
298.6000,1.5323,0.0000,0.0000,0.1500,0.9053
289.8500,1.5323,0.0000,0.0000,0.3000,0.7423
305.9000,1.5323,0.0000,0.0000,0.2000,0.7020
297.3500,1.5323,0.0000,0.0000,0.2000,3.2941
305.9500,1.5323,0.0000,0.0000,0.1500,1.4687
300.7000,1.5323,0.0000,0.0000,0.2000,-0.3939
287.8500,1.5323,0.0000,0.0000,0.2000,0.6920
283.0000,1.5323,0.0000,0.0000,0.2500,0.0622
305.5000,1.5323,0.0000,0.0000,0.2000,0.8781
287.6000,1.5323,0.0000,0.0000,0.2000,0.4526
305.4500,1.5323,0.0000,0.0000,0.2500,0.8546
298.8000,1.5323,0.0000,0.0000,0.2000,1.2420
281.1000,1.5323,0.0000,0.0000,0.2000,1.0448
304.8000,1.5323,0.0000,0.0000,0.1500,2.7192
298.6500,1.5323,0.0000,0.0000,0.2000,0.3055
278.9000,1.5323,0.0000,0.0000,0.2000,1.3592
298.5000,1.5323,0.0000,0.0000,0.2500,0.2058
305.2000,1.5323,0.0000,0.0000,0.2000,1.4583
298.3000,1.5323,0.0000,0.0000,0.2000,0.4225
279.2000,1.5323,0.0000,0.0000,0.2500,1.1746
306.6000,1.5323,0.0000,0.0000,0.2000,3.2276
297.6000,1.5323,0.0000,0.0000,0.2500,1.2363
298.1000,1.5323,0.0000,0.0000,0.2000,0.4809
296.9000,1.5323,0.0000,1.0000,0.2000,3.0131
279.0500,1.5323,0.0000,0.0000,0.2000,0.4555
277.5000,1.5323,0.0000,0.0000,0.2500,0.9979
296.7500,1.5323,0.0000,0.0000,0.2000,0.1203
279.8000,1.5323,0.0000,0.0000,0.2500,0.3014
281.5000,1.5323,0.0000,0.0000,0.2000,-0.2193
278.6000,1.5323,0.0000,0.0000,0.2000,8.0135
296.5500,1.5323,0.0000,0.0000,0.2000,0.4503
282.8000,1.5323,0.0000,0.0000,0.2500,0.3575
300.3500,1.5323,0.0000,0.0000,0.2500,0.5551
293.5500,1.5323,0.0000,0.0000,0.1500,0.8907
295.0000,1.5323,0.0000,0.0000,0.2500,-0.0745
306.3000,1.5323,0.0000,0.0000,0.2000,0.1997
270.2000,1.5323,0.0000,0.0000,0.2000,1.5950
335.8000,1.5323,0.0000,0.0000,0.2500,0.9121
291.0500,1.5323,0.0000,0.0000,0.2000,1.0750
293.4000,1.5323,0.0000,0.0000,0.2000,0.2685
295.5500,1.5323,0.0000,0.0000,0.2000,0.3231
315.6000,1.5323,0.0000,0.0000,0.2000,3.3586
293.3500,1.5323,0.0000,0.0000,0.2000,0.5257
295.4500,1.5323,0.0000,0.0000,0.2000,0.2803
313.4500,1.5323,0.0000,0.0000,0.2000,0.8517
293.3500,1.5323,0.0000,0.0000,0.2000,0.7825
290.9500,1.5323,0.0000,0.0000,0.2000,1.0810
292.3000,1.5323,0.0000,0.0000,0.2500,0.4536
316.8500,1.5323,0.0000,0.0000,0.2000,1.1188
293.3500,1.5323,0.0000,0.0000,0.2000,0.7140
315.4500,1.5323,0.0000,0.0000,0.2000,0.2648
294.1500,1.5323,0.0000,0.0000,0.2000,-0.5492
293.3000,1.5323,0.0000,0.0000,0.2000,2.2688
316.5000,1.5323,0.0000,0.0000,0.2000,2.5435
294.1000,1.5323,0.0000,0.0000,0.2000,0.8227
293.2500,1.5323,0.0000,0.0000,0.2000,1.7055
290.6500,1.5323,0.0000,0.0000,0.2000,0.5084
293.0000,1.5323,0.0000,0.0000,0.2000,3.6732
293.2000,1.5323,0.0000,0.0000,0.2000,3.1813
315.0500,1.5323,0.0000,0.0000,0.2000,0.5262
293.1500,1.5323,0.0000,0.0000,0.2500,1.1386
295.9500,1.5323,0.0000,0.0000,0.2000,0.7291
321.5500,1.5323,0.0000,0.0000,0.2000,1.9297
298.1000,1.5323,0.0000,0.0000,0.2000,0.5755
293.1000,1.5323,0.0000,0.0000,0.2000,0.6700
318.8000,1.5323,0.0000,0.0000,0.2000,0.8275
287.6500,1.5323,0.0000,0.0000,0.2000,0.3386
301.3000,1.5323,0.0000,0.0000,0.2000,1.1271
321.2500,1.5323,0.0000,0.0000,0.2500,1.0270
298.8500,1.5323,0.0000,0.0000,0.2000,0.8920
291.3000,1.5323,0.0000,0.0000,0.2000,-0.1693
303.6000,1.5323,0.0000,0.0000,0.2000,0.1456
330.7000,1.5323,0.0000,0.0000,0.2000,0.5396
264.9000,1.5323,0.0000,0.0000,0.2000,1.3258
318.3500,1.5323,0.0000,0.0000,0.2500,2.4311
306.0500,1.5323,0.0000,0.0000,0.2000,-0.3025
289.5000,1.5323,0.0000,0.0000,0.2000,1.4751
313.5500,1.5323,0.0000,0.0000,0.2000,0.1911
304.4500,1.5323,0.0000,0.0000,0.2000,2.5880
289.3500,1.5323,0.0000,0.0000,0.1500,2.1703
305.4000,1.5323,0.0000,0.0000,0.2000,0.9535
289.2500,1.5323,0.0000,0.0000,0.2000,0.5595
305.8000,1.5323,0.0000,0.0000,0.1500,0.4821
313.3000,1.5323,0.0000,0.0000,0.2000,1.1671
308.6000,1.5323,0.0000,0.0000,0.1500,0.9932
288.4000,1.5323,0.0000,1.0000,0.2000,1.9013
322.2500,1.5323,0.0000,0.0000,0.2000,2.1871
311.4000,1.5323,0.0000,0.0000,0.2500,2.0171
322.9500,1.5323,0.0000,0.0000,0.2000,1.7223
288.1500,1.5323,0.0000,0.0000,0.2500,0.7233
311.2000,1.5323,0.0000,0.0000,0.2000,1.1202
321.2000,1.5323,0.0000,0.0000,0.2000,1.2275
310.6000,1.5323,0.0000,0.0000,0.2000,0.2861
287.8500,1.5323,0.0000,0.0000,0.2000,1.3708
320.7000,1.5323,0.0000,0.0000,0.1500,2.0198
